M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-3.668,-1.3028717879934157e-17,-6.794744428535144e-18
-3.667,-1.3188540268322473e-17,-6.891907326868002e-18
-3.666,-1.3350309634179767e-17,-6.990443418154546e-18
-3.665,-1.3514049499539096e-17,-7.09037191705747e-18
-3.664,-1.3679783667749308e-17,-7.191712304773436e-18
-3.663,-1.3847536226797472e-17,-7.294484332701522e-18
-3.662,-1.4017331552669928e-17,-7.39870802616179e-18
-3.661,-1.418919431275239e-17,-7.504403688164681e-18
-3.66,-1.436314946926956e-17,-7.611591903231887e-18
-3.659,-1.4539222282764664e-17,-7.720293541269449e-18
-3.658,-1.4717438315619426e-17,-7.830529761493736e-18
-3.657,-1.4897823435614884e-17,-7.942322016411063e-18
-3.656,-1.5080403819533542e-17,-8.055692055851656e-18
-3.655,-1.5265205956803306e-17,-8.170661931058705e-18
-3.654,-1.5452256653183713e-17,-8.287253998833264e-18
-3.653,-1.5641583034494893e-17,-8.405490925735722e-18
-3.652,-1.5833212550389776e-17,-8.525395692344666e-18
-3.651,-1.6027172978170025e-17,-8.646991597573855e-18
-3.65,-1.6223492426646186e-17,-8.770302263048136e-18
-3.649,-1.6422199340042574e-17,-8.895351637539091e-18
-3.648,-1.6623322501947382e-17,-9.022164001461203e-18
-3.647,-1.6826891039308533e-17,-9.150763971429396e-18
-3.646,-1.703293442647579e-17,-9.281176504878756e-18
-3.645,-1.7241482489289677e-17,-9.413426904747282e-18
-3.644,-1.7452565409217665e-17,-9.547540824222523e-18
-3.643,-1.7666213727538267e-17,-9.683544271552977e-18
-3.642,-1.7882458349573473e-17,-9.821463614925099e-18
-3.641,-1.8101330548970164e-17,-9.96132558740685e-18
-3.64,-1.8322861972030986e-17,-1.010315729195864e-17
-3.639,-1.854708464209529e-17,-1.0246986206512627e-17
-3.638,-1.87740309639707e-17,-1.0392840189121265e-17
-3.637,-1.9003733728415823e-17,-1.054074748317604e-17
-3.636,-1.92362261166748e-17,-1.0690736722697359e-17
-3.635,-1.9471541705064125e-17,-1.0842836937696563e-17
-3.634,-1.9709714469612458e-17,-1.0997077559611002e-17
-3.633,-1.9950778790753945e-17,-1.1153488426813205e-17
-3.632,-2.0194769458075708e-17,-1.1312099790195115e-17
-3.631,-2.0441721675120054e-17,-1.1472942318828437e-17
-3.63,-2.069167106424206e-17,-1.1636047105702096e-17
-3.629,-2.0944653671523163e-17,-1.1801445673537868e-17
-3.628,-2.1200705971741343e-17,-1.196916998068525e-17
-3.627,-2.145986487339859e-17,-1.2139252427096608e-17
-3.626,-2.1722167723806248e-17,-1.2311725860383732e-17
